insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (1, 'Barr', 'Bamlett', 604444142, 'yolasite.com', 'Male', '759-996-6917');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (33, 'Odella', 'Di Franceschi', 194828224, 'zimbio.com', 'Female', '659-559-5070');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (34, 'Myles', 'Crimmins', 110930590, 'naver.com', 'Male', '826-267-6559');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (35, 'Jared', 'Echallier', 715106776, 'prweb.com', 'Male', '348-251-8559');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (36, 'Matt', 'Braams', 128086472, 'sun.com', 'Male', '113-259-3233');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (37, 'Dorelle', 'Hawkridge', 831064058, 'themeforest.net', 'Female', '976-675-8442');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (38, 'Iago', 'Mathou', 551773387, 'shareasale.com', 'Male', '137-484-1336');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (39, 'Brynn', 'Rawsthorne', 388029753, 'usnews.com', 'Female', '750-290-0507');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (40, 'Sebastiano', 'Ost', 855843749, 'gov.uk', 'Male', '508-367-3619');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (41, 'Hermon', 'Dargie', 452133784, 'alexa.com', 'Male', '365-910-9618');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (42, 'Lissie', 'Vineall', 198207150, 'cnn.com', 'Female', '720-780-3050');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (43, 'Margy', 'Minshaw', 887912537, 'dedecms.com', 'Female', '348-214-7480');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (44, 'Tommie', 'Lutas', 187474663, 'apple.com', 'Female', '921-271-8808');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (45, 'Sarine', 'Pyer', 165503722, 'mozilla.com', 'Genderqueer', '859-737-3358');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (46, 'Tammy', 'Knevett', 445119976, 'arstechnica.com', 'Female', '484-693-5606');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (47, 'Edgar', 'Caville', 213010121, 'discuz.net', 'Male', '217-607-2769');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (48, 'Adolph', 'Simic', 907238324, 'typepad.com', 'Male', '799-581-5345');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (49, 'Quentin', 'Kindall', 349200546, 'mapy.cz', 'Female', '793-638-2270');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (50, 'Corey', 'Oldacre', 610240871, 'omniture.com', 'Male', '681-988-6278');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (51, 'Peg', 'Kalisz', 240991615, 'flickr.com', 'Female', '323-786-4829');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (52, 'Ashien', 'Sanbrooke', 612396975, 'liveinternet.ru', 'Female', '429-928-4037');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (53, 'Jourdan', 'Welfare', 541260209, 'msn.com', 'Female', '155-881-0462');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (54, 'Ruthi', 'MacGoun', 969426856, 'ustream.tv', 'Female', '841-138-6573');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (55, 'Darsey', 'Deville', 709148746, 'mlb.com', 'Female', '918-221-5317');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (56, 'Hildy', 'Ealam', 266360634, 'apple.com', 'Female', '375-360-4655');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (57, 'Spenser', 'Loveredge', 168923547, 'canalblog.com', 'Male', '252-586-7990');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (58, 'Jolee', 'Brightling', 325832897, 'disqus.com', 'Female', '690-489-6232');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (59, 'Randie', 'Stamp', 346755793, 'chronoengine.com', 'Female', '783-269-5012');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (60, 'Mackenzie', 'Ladbury', 449701438, 'friendfeed.com', 'Male', '743-476-9311');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (61, 'Nikolaos', 'Wressell', 860641704, 'si.edu', 'Agender', '994-507-8698');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (62, 'Truman', 'Najafian', 609460470, 'ow.ly', 'Male', '308-163-9556');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (63, 'Georgianne', 'Perigo', 446564911, 'princeton.edu', 'Female', '698-141-6074');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (64, 'Hermy', 'Shemelt', 810810924, 'cafepress.com', 'Male', '733-115-1472');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (65, 'Pearl', 'Titcumb', 401142396, 'tinypic.com', 'Female', '278-224-3452');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (66, 'Christalle', 'Jina', 816824644, 'chron.com', 'Female', '334-478-1757');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (67, 'Tomkin', 'Richley', 900245430, 'admin.ch', 'Polygender', '366-181-3942');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (68, 'Iolanthe', 'Bowater', 396179521, 'accuweather.com', 'Female', '610-108-3971');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (69, 'Anthe', 'Durden', 407250522, 't-online.de', 'Female', '347-168-7331');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (70, 'Olivier', 'Makinson', 249258583, 'storify.com', 'Male', '784-547-5936');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (71, 'Shoshanna', 'Duffil', 281146931, 'who.int', 'Female', '903-402-7046');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (72, 'Irving', 'Cockin', 564008556, 'ameblo.jp', 'Male', '764-969-9192');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (73, 'Burnaby', 'Millmoe', 762426436, 'sogou.com', 'Male', '112-214-9969');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (74, 'Candice', 'Shelmardine', 844769735, 'ucoz.ru', 'Female', '190-926-1634');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (75, 'Daloris', 'Hayzer', 827427373, 'bing.com', 'Female', '154-597-2731');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (76, 'Pernell', 'Keys', 485671036, 'sbwire.com', 'Male', '192-479-8287');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (77, 'Ogdon', 'Tustin', 724209850, 'wired.com', 'Male', '420-526-5089');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (78, 'Trey', 'Bardill', 113584642, 'twitpic.com', 'Male', '694-599-5859');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (79, 'Melva', 'Burdon', 636429773, 'oakley.com', 'Female', '792-481-5521');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (80, 'Codee', 'Hackworth', 117299368, 'usgs.gov', 'Female', '550-709-7638');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (81, 'Gussy', 'Grisard', 897768346, 'yahoo.co.jp', 'Female', '707-294-8635');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (82, 'Raquela', 'Caldera', 707796386, 'ustream.tv', 'Female', '498-382-3715');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (83, 'Pierre', 'Belliss', 843545846, 'purevolume.com', 'Male', '489-120-9482');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (84, 'Vikky', 'Brundrett', 938983267, 'salon.com', 'Female', '989-286-9229');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (85, 'Babbie', 'Fridlington', 389965269, 'free.fr', 'Female', '256-340-5579');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (86, 'Urbain', 'Forsey', 346260682, 'creativecommons.org', 'Bigender', '793-379-3634');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (87, 'Karee', 'North', 667321586, 'tinypic.com', 'Female', '167-861-1241');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (88, 'Rayner', 'Ludovici', 146625335, 'slate.com', 'Male', '620-767-1054');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (89, 'Judon', 'Ashington', 518690853, 'joomla.org', 'Male', '314-997-5195');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (90, 'Gustaf', 'Raspison', 978055213, 'cnn.com', 'Male', '630-430-2068');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (91, 'Kimble', 'Bernier', 640308483, 'ow.ly', 'Polygender', '572-427-4471');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (92, 'Clim', 'Dawltrey', 210799175, 'mysql.com', 'Male', '236-496-8179');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (93, 'Alie', 'Di Dello', 995530515, 'senate.gov', 'Female', '618-680-4920');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (94, 'Bibbie', 'Eliff', 546210789, 'mail.ru', 'Polygender', '246-351-2882');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (95, 'Karee', 'Bodesson', 794775222, 'discovery.com', 'Female', '820-727-3860');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (96, 'Park', 'Shinefield', 842437489, 'slashdot.org', 'Male', '490-240-3102');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (97, 'Bradney', 'Edmondson', 250949261, 'arizona.edu', 'Male', '980-885-0412');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (98, 'Paxon', 'Pacquet', 758170411, '163.com', 'Non-binary', '643-321-5798');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (99, 'Maryanna', 'Newick', 717064214, 'freewebs.com', 'Female', '227-611-7405');
insert into public.distribudor (id, nombre, apellido, identificacion, correo, sexo, telefono) values (100, 'Trista', 'Showering', 599370022, 'latimes.com', 'Female', '793-970-4998');
